物品81 222305949/160
物品69 831335981/720
物品39 83439777/80
物品126 157925537/240
物品114 44102359/80
物品40 255051763/480
物品79 40999889/120
物品13 19231393/60
物品73 9211791/40
物品85 308166157/1440
物品68 3218357/16
物品127 66936967/360
物品57 41408867/240
物品3 10160383/60
物品26 514302/5
物品74 1812399/20
物品9 21226861/240
物品12 4689679/60
物品133 8304163/120
物品98 119404183/1800
物品132 2115091/36
物品56 4585739/120
物品107 227285/6
物品34 314873/12
物品18 787943/40
物品80 91819/5
物品59 90248/5
物品113 393055/24
物品119 1205564/75
物品110 79234/5
物品15 150481/10
物品67 631747/45
物品117 1350079/120
物品2 426987/40
物品104 20905/2
物品55 98981/12
物品30 1227479/150
物品60 141949/25
物品8 11065/2
物品96 24124/5
物品82 3940
物品23 285629/75
物品128 32267/10
物品130 5205/2
物品120 430
