Station_Id_C Year Mon Day Hour PRS WIN_D_Avg_2mi WIN_S_Avg_2mi TEM
54398 2021 8 3 0 1003.8000 154 1.4000 25.8000 
54398 2021 8 3 1 1004.2000 114 1.0000 25.4000 
54398 2021 8 3 2 1004.2000 74 1.4000 27.0000 
54398 2021 8 3 3 1003.8000 176 1.7000 27.4000 
54398 2021 8 3 4 1003.3000 146 2.1000 28.3000 
54398 2021 8 3 5 1002.6000 308 0.9000 29.1000 
54398 2021 8 3 6 1002.3000 174 2.0000 29.7000 
54398 2021 8 3 7 1001.6000 157 1.1000 29.7000 
54398 2021 8 3 8 1001.5000 146 1.9000 29.7000 
54398 2021 8 3 9 1001.1000 170 2.9000 29.3000 
54398 2021 8 3 10 1001.1000 184 1.9000 29.2000 
54398 2021 8 3 11 1001.4000 173 1.9000 29.1000 
54398 2021 8 3 12 1001.7000 181 1.8000 28.7000 
54398 2021 8 3 13 1002.3000 179 1.5000 28.2000 
54398 2021 8 3 14 1002.3000 173 1.2000 27.6000 
54398 2021 8 3 15 1001.6000 128 2.2000 27.3000 
54398 2021 8 3 16 1001.7000 160 2.1000 26.8000 
54398 2021 8 3 17 1001.6000 129 1.2000 26.2000 
54398 2021 8 3 18 1001.4000 164 1.7000 26.1000 
54398 2021 8 3 19 1001.4000 150 0.8000 25.4000 
54398 2021 8 3 20 1001.4000 177 1.6000 24.9000 
54398 2021 8 3 21 1001.5000 175 2.5000 24.8000 
54398 2021 8 3 22 1001.7000 174 1.8000 24.6000 
54398 2021 8 3 23 1001.8000 173 1.9000 25.0000 
54399 2021 8 3 0 1001.8000 207 0.3000 25.5000 
54399 2021 8 3 1 1001.9000 316 1.1000 26.3000 
54399 2021 8 3 2 1001.9000 27 0.6000 28.0000 
54399 2021 8 3 3 1001.4000 19 0.7000 27.8000 
54399 2021 8 3 4 1001.0000 116 0.4000 28.6000 
54399 2021 8 3 5 1000.3000 20 0.7000 29.5000 
54399 2021 8 3 6 1000.0000 250 1.8000 29.7000 
54399 2021 8 3 7 999.5000 228 1.7000 29.7000 
54399 2021 8 3 8 999.4000 202 2.0000 29.6000 
54399 2021 8 3 9 999.0000 211 2.7000 29.3000 
54399 2021 8 3 10 999.0000 216 2.7000 28.7000 
54399 2021 8 3 11 999.3000 226 2.2000 28.6000 
54399 2021 8 3 12 999.5000 200 2.4000 28.4000 
54399 2021 8 3 13 1000.1000 198 2.7000 28.2000 
54399 2021 8 3 14 999.8000 194 2.3000 27.9000 
54399 2021 8 3 15 999.3000 202 2.8000 27.9000 
54399 2021 8 3 16 999.5000 219 2.2000 27.4000 
54399 2021 8 3 17 999.4000 195 1.1000 26.7000 
54399 2021 8 3 18 999.2000 210 2.1000 26.3000 
54399 2021 8 3 19 999.0000 186 1.6000 24.7000 
54399 2021 8 3 20 999.1000 208 2.0000 24.9000 
54399 2021 8 3 21 999.3000 197 2.2000 24.8000 
54399 2021 8 3 22 999.4000 220 1.7000 24.4000 
54399 2021 8 3 23 999.5000 224 1.8000 24.9000 
54406 2021 8 3 0 952.2000 128 2.2000 22.7000 
54406 2021 8 3 1 952.4000 114 2.5000 24.2000 
54406 2021 8 3 2 952.3000 79 1.0000 24.7000 
54406 2021 8 3 3 952.0000 104 2.4000 25.7000 
54406 2021 8 3 4 951.5000 99 3.6000 26.1000 
54406 2021 8 3 5 951.0000 93 2.4000 26.3000 
