Station_Id_C Year Mon Day Hour WIN_D_Avg_2mi WIN_S_Avg_2mi TEM PRE_1h
53392 2021 8 3 18 207 1.9000 15.2000 0.0000 
53392 2021 8 3 19 178 0.6000 14.8000 0.0000 
53392 2021 8 3 20 194 1.2000 14.2000 0.0000 
53392 2021 8 3 21 240 1.8000 13.7000 0.0000 
53392 2021 8 3 22 176 1.7000 13.1000 0.0000 
53397 2021 8 3 18 226 2.2000 15.0000 0.0000 
53397 2021 8 3 19 220 2.2000 14.6000 0.0000 
53397 2021 8 3 20 199 3.2000 14.5000 0.1000 
53397 2021 8 3 21 234 2.0000 14.2000 0.0000 
53397 2021 8 3 22 256 2.4000 14.1000 0.0000 
53399 2021 8 3 18 190 2.1000 15.5000 0.0000 
53399 2021 8 3 19 190 2.2000 14.9000 0.0000 
53399 2021 8 3 20 188 2.6000 14.6000 0.0000 
53399 2021 8 3 21 200 2.4000 14.0000 0.1000 
53399 2021 8 3 22 176 1.3000 13.8000 0.0000 
53491 2021 8 3 18 267 1.1000 18.2000 0.0000 
53491 2021 8 3 19 256 1.3000 17.7000 0.2000 
53491 2021 8 3 20 264 1.3000 16.9000 0.0000 
53491 2021 8 3 21 283 2.1000 16.2000 0.0000 
53491 2021 8 3 22 234 1.0000 15.7000 0.0000 
53492 2021 8 3 18 329 1.5000 19.4000 0.0000 
53492 2021 8 3 19 275 1.6000 18.6000 0.0000 
53492 2021 8 3 20 307 0.5000 18.0000 0.0000 
53492 2021 8 3 21 278 1.2000 17.6000 0.0000 
53492 2021 8 3 22 238 1.0000 17.5000 0.0000 
53498 2021 8 3 18 283 1.5000 20.0000 0.0000 
53498 2021 8 3 19 258 1.3000 20.1000 0.0000 
53498 2021 8 3 20 258 0.7000 20.0000 0.0000 
53498 2021 8 3 21 326 0.6000 19.0000 0.0000 
53498 2021 8 3 22 308 1.7000 19.0000 0.0000 
53499 2021 8 3 18 21 0.5000 19.3000 0.0000 
53499 2021 8 3 19 26 0.7000 19.1000 0.0000 
53499 2021 8 3 20 328 0.6000 18.5000 0.0000 
53499 2021 8 3 21 34 1.4000 18.1000 0.1000 
53499 2021 8 3 22 1 0.7000 18.0000 0.0000 
53593 2021 8 3 18 287 1.2000 21.2000 0.0000 
53593 2021 8 3 19 224 0.4000 21.0000 0.0000 
53593 2021 8 3 20 999017 0.0000 20.2000 0.0000 
53593 2021 8 3 21 999017 0.1000 18.9000 0.1000 
53593 2021 8 3 22 234 0.8000 17.9000 0.0000 
53596 2021 8 3 18 999017 0.0000 25.3000 0.0000 
53596 2021 8 3 19 335 2.1000 25.0000 0.0000 
53596 2021 8 3 20 351 2.2000 25.0000 0.0000 
53596 2021 8 3 21 83 0.9000 24.8000 0.0000 
53596 2021 8 3 22 999017 0.1000 24.4000 0.0000 
53599 2021 8 3 18 999017 0.1000 20.1000 0.0000 
53599 2021 8 3 19 56 0.3000 19.9000 0.0000 
53599 2021 8 3 20 304 0.6000 19.6000 0.0000 
53599 2021 8 3 21 999017 0.0000 18.7000 0.0000 
53599 2021 8 3 22 333 1.4000 18.2000 0.0000 
53680 2021 8 3 18 999017 0.0000 25.5000 0.0000 
53680 2021 8 3 19 233 0.4000 25.3000 0.0000 
53680 2021 8 3 20 999017 0.0000 25.1000 0.0000 
53680 2021 8 3 21 296 1.2000 25.2000 0.0000 
53680 2021 8 3 22 41 0.7000 24.9000 0.0000 
53682 2021 8 3 18 281 0.5000 24.5000 0.0000 
53682 2021 8 3 19 999017 0.0000 24.4000 0.0000 
53682 2021 8 3 20 999017 0.2000 24.1000 0.0000 
53682 2021 8 3 21 999017 0.2000 23.8000 0.0000 
53682 2021 8 3 22 999017 0.1000 23.6000 0.0000 
53688 2021 8 3 18 311 1.0000 25.5000 0.0000 
53688 2021 8 3 19 191 0.5000 24.9000 0.1000 
53688 2021 8 3 20 297 0.5000 24.7000 0.0000 
53688 2021 8 3 21 281 1.4000 24.7000 0.0000 
53688 2021 8 3 22 291 1.1000 24.6000 0.1000 
53689 2021 8 3 18 186 1.2000 26.7000 0.0000 
53689 2021 8 3 19 205 1.1000 26.2000 0.0000 
53689 2021 8 3 20 175 1.3000 26.3000 0.0000 
53689 2021 8 3 21 229 0.6000 26.1000 0.0000 
53689 2021 8 3 22 232 0.6000 25.7000 0.0000 
53690 2021 8 3 18 316 1.0000 23.1000 0.1000 
53690 2021 8 3 19 317 1.2000 23.1000 0.0000 
53690 2021 8 3 20 321 0.8000 23.0000 0.0000 
53690 2021 8 3 21 325 1.2000 22.8000 0.0000 
53690 2021 8 3 22 320 1.7000 22.4000 0.0000 
53691 2021 8 3 18 305 0.8000 25.9000 0.0000 
53691 2021 8 3 19 308 0.9000 25.7000 0.0000 
53691 2021 8 3 20 269 0.4000 25.6000 0.0000 
53691 2021 8 3 21 275 0.5000 25.6000 0.0000 
53691 2021 8 3 22 295 0.4000 25.4000 0.0000 
53692 2021 8 3 18 999017 0.0000 26.7000 0.0000 
53692 2021 8 3 19 999017 0.1000 26.5000 0.0000 
53692 2021 8 3 20 22 0.4000 26.3000 0.0000 
53692 2021 8 3 21 119 0.5000 26.0000 0.0000 
53692 2021 8 3 22 76 0.3000 25.4000 0.0000 
53693 2021 8 3 18 176 1.6000 24.1000 0.0000 
53693 2021 8 3 19 158 1.0000 24.2000 0.0000 
53693 2021 8 3 20 260 1.1000 24.0000 0.0000 
53693 2021 8 3 21 265 0.3000 23.9000 0.2000 
53693 2021 8 3 22 280 0.7000 23.8000 0.0000 
53694 2021 8 3 18 224 1.4000 24.8000 0.0000 
53694 2021 8 3 19 196 0.8000 24.9000 0.0000 
53694 2021 8 3 20 280 1.2000 24.8000 0.0000 
53694 2021 8 3 21 266 1.0000 24.8000 0.0000 
53694 2021 8 3 22 279 0.8000 24.3000 0.0000 
53695 2021 8 3 18 295 1.0000 26.0000 0.0000 
53695 2021 8 3 19 291 1.3000 25.7000 0.0000 
53695 2021 8 3 20 331 0.4000 25.5000 0.0000 
53695 2021 8 3 21 298 1.3000 25.4000 0.0000 
53695 2021 8 3 22 297 1.1000 25.2000 0.0000 
53696 2021 8 3 18 134 0.5000 26.7000 0.0000 
53696 2021 8 3 19 79 0.4000 25.9000 0.0000 
53696 2021 8 3 20 106 1.1000 25.7000 0.0000 
53696 2021 8 3 21 39 0.7000 25.6000 0.0000 
53696 2021 8 3 22 87 0.3000 25.4000 0.0000 
53697 2021 8 3 18 999017 0.0000 25.6000 0.0000 
53697 2021 8 3 19 999017 0.2000 25.5000 0.0000 
53697 2021 8 3 20 999017 0.1000 25.4000 0.0000 
53697 2021 8 3 21 999017 0.2000 25.3000 0.0000 
53697 2021 8 3 22 999017 0.2000 25.0000 0.2000 
53699 2021 8 3 18 999017 0.0000 25.8000 0.0000 
53699 2021 8 3 19 999017 0.0000 25.7000 0.0000 
53699 2021 8 3 20 142 1.4000 26.2000 0.0000 
53699 2021 8 3 21 182 1.0000 25.9000 0.0000 
53699 2021 8 3 22 293 0.7000 25.6000 0.0000 
53773 2021 8 3 18 159 1.2000 25.5000 0.0000 
53773 2021 8 3 19 281 0.6000 25.2000 0.0000 
53773 2021 8 3 20 179 0.9000 25.2000 0.0000 
53773 2021 8 3 21 193 1.1000 25.2000 0.0000 
53773 2021 8 3 22 179 0.7000 25.0000 0.0000 
53781 2021 8 3 18 219 1.1000 25.0000 0.0000 
53781 2021 8 3 19 177 1.3000 25.3000 0.0000 
53781 2021 8 3 20 182 2.0000 25.1000 0.0000 
53781 2021 8 3 21 173 1.6000 25.4000 0.0000 
53781 2021 8 3 22 173 2.4000 25.6000 0.0000 
53784 2021 8 3 18 159 0.8000 25.4000 0.0000 
53784 2021 8 3 19 170 0.3000 24.8000 0.0000 
53784 2021 8 3 20 999017 0.0000 24.6000 0.0000 
53784 2021 8 3 21 207 0.7000 24.9000 0.0000 
53784 2021 8 3 22 143 1.1000 24.8000 0.0000 
53785 2021 8 3 18 149 1.5000 25.9000 0.0000 
53785 2021 8 3 19 139 0.8000 25.1000 0.0000 
53785 2021 8 3 20 144 1.3000 24.8000 0.0000 
53785 2021 8 3 21 231 1.0000 24.8000 0.0000 
53785 2021 8 3 22 312 0.8000 24.7000 0.0000 
53789 2021 8 3 18 104 0.5000 26.5000 0.0000 
53789 2021 8 3 19 359 1.0000 26.3000 0.0000 
53789 2021 8 3 20 352 1.4000 26.2000 0.0000 
53789 2021 8 3 21 337 0.4000 26.1000 0.0000 
53789 2021 8 3 22 999017 0.2000 25.7000 0.1000 
53790 2021 8 3 18 28 0.7000 25.2000 0.0000 
53790 2021 8 3 19 78 0.7000 24.9000 0.0000 
53790 2021 8 3 20 353 0.9000 24.6000 0.0000 
53790 2021 8 3 21 338 1.2000 24.7000 0.0000 
53790 2021 8 3 22 343 1.0000 24.7000 0.0000 
53791 2021 8 3 18 328 1.2000 24.8000 0.0000 
53791 2021 8 3 19 16 1.3000 24.7000 0.0000 
53791 2021 8 3 20 349 0.6000 24.6000 0.0000 
53791 2021 8 3 21 16 0.8000 24.6000 0.1000 
53791 2021 8 3 22 288 0.9000 24.4000 0.1000 
53792 2021 8 3 18 174 1.3000 27.0000 0.0000 
53792 2021 8 3 19 157 1.7000 26.8000 0.0000 
53792 2021 8 3 20 171 0.4000 26.8000 0.0000 
53792 2021 8 3 21 23 1.8000 25.7000 0.0000 
53792 2021 8 3 22 11 2.2000 25.4000 0.0000 
53794 2021 8 3 18 179 1.8000 27.0000 0.0000 
53794 2021 8 3 19 197 1.5000 26.6000 0.0000 
53794 2021 8 3 20 129 1.3000 26.1000 0.0000 
53794 2021 8 3 21 177 0.7000 25.6000 0.0000 
53794 2021 8 3 22 190 0.9000 25.8000 0.0000 
53795 2021 8 3 18 333 1.8000 24.8000 0.0000 
53795 2021 8 3 19 342 2.9000 24.3000 0.0000 
53795 2021 8 3 20 338 2.0000 24.3000 0.0000 
53795 2021 8 3 21 999017 0.2000 24.4000 0.0000 
53795 2021 8 3 22 207 1.5000 24.2000 0.1000 
53796 2021 8 3 18 142 1.2000 26.7000 0.0000 
53796 2021 8 3 19 133 0.6000 26.3000 0.0000 
53796 2021 8 3 20 123 0.9000 25.9000 0.0000 
53796 2021 8 3 21 123 1.6000 25.9000 0.0000 
53796 2021 8 3 22 129 1.0000 25.9000 0.0000 
53797 2021 8 3 18 236 2.4000 25.6000 0.0000 
53797 2021 8 3 19 223 2.8000 25.5000 0.0000 
53797 2021 8 3 20 138 1.4000 25.4000 0.0000 
53797 2021 8 3 21 232 1.4000 25.2000 0.0000 
53797 2021 8 3 22 5 2.8000 24.9000 0.0000 
53798 2021 8 3 18 211 3.4000 27.5000 0.0000 
53798 2021 8 3 19 297 1.2000 27.4000 0.0000 
53798 2021 8 3 20 278 1.8000 25.6000 0.0000 
53798 2021 8 3 21 336 1.7000 25.6000 0.0000 
53798 2021 8 3 22 320 1.4000 25.0000 0.0000 
53799 2021 8 3 18 186 2.6000 27.0000 0.0000 
53799 2021 8 3 19 193 2.4000 26.5000 0.0000 
53799 2021 8 3 20 174 1.3000 26.3000 0.0000 
53799 2021 8 3 21 184 2.2000 26.4000 0.0000 
53799 2021 8 3 22 176 3.1000 26.4000 0.0000 
53883 2021 8 3 18 190 1.9000 27.2000 0.0000 
53883 2021 8 3 19 188 2.2000 27.3000 0.0000 
53883 2021 8 3 20 132 1.1000 26.8000 0.0000 
53883 2021 8 3 21 178 1.6000 26.1000 0.0000 
53883 2021 8 3 22 214 1.3000 26.0000 0.0000 
53886 2021 8 3 18 999017 0.2000 24.7000 0.0000 
53886 2021 8 3 19 168 0.5000 24.4000 0.0000 
53886 2021 8 3 20 149 0.6000 23.8000 0.0000 
53886 2021 8 3 21 202 1.5000 23.5000 0.0000 
53886 2021 8 3 22 218 1.6000 23.5000 0.0000 
53890 2021 8 3 18 268 1.0000 25.5000 0.0000 
53890 2021 8 3 19 171 1.3000 24.9000 0.0000 
53890 2021 8 3 20 243 2.5000 24.9000 0.0000 
53890 2021 8 3 21 226 2.3000 24.7000 0.0000 
53890 2021 8 3 22 214 1.9000 24.2000 0.0000 
53891 2021 8 3 18 165 2.4000 26.9000 0.0000 
53891 2021 8 3 19 166 2.2000 26.9000 0.0000 
53891 2021 8 3 20 151 0.9000 26.3000 0.0000 
53891 2021 8 3 21 166 2.6000 26.2000 0.0000 
53891 2021 8 3 22 161 2.6000 25.9000 0.0000 
53892 2021 8 3 18 175 1.2000 26.8000 0.0000 
53892 2021 8 3 19 172 1.3000 27.1000 0.0000 
53892 2021 8 3 20 180 1.3000 26.7000 0.0000 
53892 2021 8 3 21 202 1.1000 26.7000 0.0000 
53892 2021 8 3 22 203 1.6000 27.0000 0.0000 
53893 2021 8 3 18 157 1.6000 25.6000 0.0000 
53893 2021 8 3 19 168 1.7000 25.7000 0.0000 
53893 2021 8 3 20 166 1.7000 25.3000 0.0000 
53893 2021 8 3 21 174 1.8000 25.2000 0.0000 
53893 2021 8 3 22 176 1.3000 25.4000 0.0000 
53894 2021 8 3 18 320 1.1000 26.1000 0.0000 
53894 2021 8 3 19 199 1.1000 26.2000 0.0000 
53894 2021 8 3 20 236 1.4000 25.7000 0.0000 
53894 2021 8 3 21 216 1.6000 25.4000 0.0000 
53894 2021 8 3 22 186 1.6000 24.9000 0.0000 
53895 2021 8 3 18 231 1.6000 26.7000 0.0000 
53895 2021 8 3 19 190 1.8000 26.8000 0.0000 
53895 2021 8 3 20 198 2.0000 26.1000 0.0000 
53895 2021 8 3 21 179 1.8000 25.9000 0.0000 
53895 2021 8 3 22 215 2.3000 26.0000 0.0000 
53896 2021 8 3 18 156 1.0000 25.4000 0.0000 
53896 2021 8 3 19 206 0.3000 25.5000 0.0000 
53896 2021 8 3 20 145 1.1000 25.5000 0.0000 
53896 2021 8 3 21 186 1.0000 25.0000 0.0000 
53896 2021 8 3 22 205 1.1000 24.9000 0.0000 
53897 2021 8 3 18 253 0.7000 25.6000 0.0000 
53897 2021 8 3 19 151 0.8000 25.8000 0.0000 
53897 2021 8 3 20 255 1.2000 25.4000 0.0000 
53897 2021 8 3 21 209 0.8000 25.3000 0.0000 
53897 2021 8 3 22 225 1.8000 24.8000 0.0000 
53899 2021 8 3 18 185 2.1000 26.4000 0.0000 
53899 2021 8 3 19 178 1.0000 26.0000 0.0000 
53899 2021 8 3 20 164 1.6000 26.0000 0.0000 
53899 2021 8 3 21 211 1.0000 25.5000 0.0000 
53899 2021 8 3 22 185 0.9000 25.7000 0.0000 
53980 2021 8 3 18 999017 0.2000 25.9000 0.0000 
53980 2021 8 3 19 181 1.1000 25.4000 0.0000 
53980 2021 8 3 20 196 1.0000 25.2000 0.0000 
53980 2021 8 3 21 193 1.1000 25.4000 0.0000 
53980 2021 8 3 22 191 1.4000 25.4000 0.0000 
53996 2021 8 3 18 161 0.8000 25.8000 0.0000 
53996 2021 8 3 19 185 0.9000 25.2000 0.0000 
53996 2021 8 3 20 205 0.9000 25.3000 0.0000 
53996 2021 8 3 21 194 0.3000 25.2000 0.0000 
53996 2021 8 3 22 181 1.1000 25.3000 0.0000 
54301 2021 8 3 18 195 1.7000 15.4000 0.0000 
54301 2021 8 3 19 173 0.3000 14.6000 0.0000 
54301 2021 8 3 20 256 0.5000 13.4000 0.2000 
54301 2021 8 3 21 175 1.5000 13.1000 0.0000 
54301 2021 8 3 22 272 1.3000 13.1000 0.0000 
54304 2021 8 3 18 143 1.0000 17.8000 0.0000 
54304 2021 8 3 19 317 0.7000 17.4000 0.0000 
54304 2021 8 3 20 139 1.4000 16.6000 0.0000 
